uniqid	distschl	dyear
1000100006	.94	2000
1000100022	2.66	2000
1000100030	.18	2000
1000100033	.4	2000
1000100040	8.7	2000
1000100047	.58	2000
1000100049	20.64	2000
1000100052	14.1	2000
1000100054	1.42	2000
1000100057	.54	2000
1000100058	5.01	2000
1000100060	.78	2000
1000100063	4.95	2000
1000100064	.96	2000
1000100067	.72	2000
1000100070	4.78	2000
1000100072	4.12	2000
1000100075	3.15	2000
1000100076	3.74	2000
1000100079	.22	2000
1000100083	2.44	2000
1000100084	5.22	2000
1000100089	6.27	2000
1000100090	2.91	2000
1000100093	4.88	2000
1000100098	.86	2000
1000100103	1.58	2000
1000100105	1.05	2000
1000100109	.35	2000
1000100113	.82	2000
1000100114	.51	2000
1000100120	1.57	2000
1000100122	2.21	2000
1000100126	.92	2000
1000100140	.48	2000
1000100141	.64	2000
1000100148	.14	2000
1000100149	.37	2000
1000100150	.76	2000
1000100152	.28	2000
1000100153	.46	2000
1000100158	12.48	2000
1000100165	.59	2000
1000100166	2.11	2000
1000100167	2.21	2000
1000100168	.49	2000
1000100172	6.11	2000
1000100174	.27	2000
1000100175	6.02	2000
1000100176	.14	2000
1000100177	.28	2000
1000100181	.64	2000
1000100183	1.09	2000
1000100185	.45	2000
1000100186	.69	2000
1000100189	.28	2000
1000100190	2.81	2000
1000100193	2.48	2000
1000100194	.32	2000
1000100203	.59	2000
1000100205	1.05	2000
1000100209	2.01	2000
1000100211	1.01	2000
1000100212	.17	2000
1000100217	1.14	2000
1000100220	3	2000
1000100226	.17	2000
1000100227	.15	2000
1000100230	.52	2000
1000100231	2.86	2000
1000100232	.45	2000
1000100252	2.19	2000
1000100255	.26	2000
1000100256	.49	2000
1000100257	.63	2000
1000100259	.37	2000
1000100262	.06	2000
1000100263	.15	2000
1000100271	.12	2000
1000100272	6.1	2000
1000100273	.2	2000
1000100276	4.61	2000
1000100281	.27	2000
1000100284	6.46	2000
1000100288	.22	2000
1000100291	6.46	2000
1000100299	6.72	2000
1000100303	.46	2000
1000100304	6.39	2000
1000100312	.38	2000
1000100320	18.01	2000
1000100324	1.95	2000
1000100326	.77	2000
1000100334	17.71	2000
1000100342	12.35	2000
1000100343	.25	2000
1000100358	1.68	2000
1000100361	.88	2000
1000100371	.17	2000
1000100375	.32	2000
1000100378	.2	2000
1000100385	.45	2000
1000100392	.57	2000
1000100394	1.05	2000
1000100396	.18	2000
1000100419	.28	2000
1000100421	.43	2000
1000100431	12.21	2000
1000100432	1.28	2000
1000100435	.49	2000
1000100441	.67	2000
1000100454	1.48	2000
1000100458	1.92	2000
1000100464	2.73	2000
1000100467	.96	2000
1000100468	1.06	2000
1000100471	.84	2000
1000100479	10.26	2000
1000100480	.19	2000
1000100485	.29	2000
1000100487	.59	2000
1000100490	.54	2000
1000100491	1.01	2000
1000100497	8.61	2000
1000100503	3.18	2000
1000100508	1.58	2000
1000200002	.37	2000
1000200005	.4	2000
1000200006	.66	2000
1000200009	1.52	2000
1000200012	1.06	2000
1000200013	.61	2000
1000200014	2.05	2000
1000200015	.4	2000
1000200017	33.64	2000
1000200018	.42	2000
1000200026	.56	2000
1000200027	1.16	2000
1000200035	1.21	2000
1000200049	.5	2000
1000200061	.5	2000
1000200063	.45	2000
1000200069	.66	2000
1000200071	.24	2000
1000200072	1.28	2000
1000200078	.55	2000
1000200092	.54	2000
1000200094	.33	2000
1000200102	1.47	2000
1000200104	.66	2000
1000200106	.34	2000
1000200108	13.51	2000
1000200117	.19	2000
1000200118	.64	2000
1000200122	6.34	2000
1000200123	.96	2000
1000200128	.9	2000
1000200137	.48	2000
1000200144	.43	2000
1000200145	8.88	2000
1000200148	10.02	2000
1000200149	.65	2000
1000200151	10.07	2000
1000200154	1.37	2000
1000200160	2.37	2000
1000200162	2.37	2000
1000200171	1.19	2000
1000200173	.64	2000
1000200181	7.97	2000
1000200182	1.43	2000
1000200192	.25	2000
1000200194	.19	2000
1000200195	.25	2000
1000200196	1.45	2000
1000200197	0	2000
1000200199	.19	2000
1000200201	.98	2000
1000200202	.25	2000
1000200206	4.64	2000
1000200207	.63	2000
1000200220	0	2000
1000200221	1.5	2000
1000200222	2.37	2000
1000200223	2.82	2000
1000200230	2.75	2000
1000200231	2.42	2000
1000200234	.53	2000
1000200239	.51	2000
1000200242	.36	2000
1000200247	0	2000
1000200256	.61	2000
1000200264	1.45	2000
1000200269	3.93	2000
1000200270	1.54	2000
1000200271	1.06	2000
1000200272	1.7	2000
1000200276	1.68	2000
1000200282	.94	2000
1000200288	1.05	2000
1000200291	.84	2000
1000200293	.34	2000
1000200301	.22	2000
1000200303	.82	2000
1000200306	.59	2000
1000200312	.54	2000
1000200314	12.41	2000
1000200316	.19	2000
1000200321	.14	2000
1000200324	.83	2000
1000200331	8.57	2000
1000200332	.74	2000
1000200333	.73	2000
1000200336	.85	2000
1000200341	1.48	2000
1000200342	.75	2000
1000200343	1.07	2000
1000200352	43.06	2000
1000200356	1.66	2000
1000200357	.65	2000
1000200361	.51	2000
1000200363	.31	2000
1000200369	.69	2000
1000200370	1.37	2000
1000200371	1.62	2000
1000200378	1.05	2000
1000200382	.61	2000
1000200393	.3	2000
1000200394	.3	2000
1000200398	.56	2000
1000200404	.26	2000
1000200406	.24	2000
1000200410	.15	2000
1000200413	.25	2000
1000200417	.23	2000
1000200419	.57	2000
1000200429	2.18	2000
1000200437	2.01	2000
1000200445	2.18	2000
1000200447	1.21	2000
1000200448	.61	2000
1000200456	.97	2000
1000200457	.34	2000
1000200473	1.75	2000
1000200474	10.86	2000
1000200477	.76	2000
1000200479	.23	2000
1000200487	8.38	2000
1000200488	.93	2000
1000200489	.49	2000
1000200497	.7	2000
1000200498	1.42	2000
1000300012	.21	2000
1000300020	1.32	2000
1000300028	.07	2000
1000300032	.33	2000
1000300050	.51	2000
1000300054	.75	2000
1000300066	.79	2000
1000300074	.89	2000
1000300078	.46	2000
1000300083	1.36	2000
1000300085	11.82	2000
1000300087	.63	2000
1000300092	.32	2000
1000300095	1.42	2000
1000300099	1.09	2000
1000300103	.58	2000
1000300119	1.5	2000
1000300122	1.01	2000
1000300124	.8	2000
1000300126	.38	2000
1000300131	1.53	2000
1000300136	.49	2000
1000300141	.6	2000
1000300150	1.12	2000
1000300152	.66	2000
1000300154	.26	2000
1000300164	.13	2000
1000300165	1.33	2000
1000300168	1.02	2000
1000300180	.76	2000
1000300185	.24	2000
1000300190	5.88	2000
1000300193	.7	2000
1000300194	8.48	2000
1000300195	1.09	2000
1000300207	6.24	2000
1000300213	.42	2000
1000300224	1.32	2000
1000300225	.7	2000
1000300234	2.07	2000
1000300236	1.35	2000
1000300238	2.15	2000
1000300240	.75	2000
1000300241	4.97	2000
1000300252	.35	2000
1000300260	1.11	2000
1000300261	1.17	2000
1000300262	.24	2000
1000300269	.65	2000
1000300270	1.46	2000
1000300286	.15	2000
1000300291	.23	2000
1000300292	6.15	2000
1000300293	.47	2000
1000300298	.62	2000
1000300303	.2	2000
1000300309	.95	2000
1000300311	.27	2000
1000300316	2.73	2000
1000300319	6.86	2000
1000300322	6.58	2000
1000300325	.65	2000
1000300326	.5	2000
1000300328	.17	2000
1000300331	.24	2000
1000300332	2.42	2000
1000300336	.35	2000
1000300339	.46	2000
1000300341	.3	2000
1000300342	.34	2000
1000300346	1.75	2000
1000300347	4.25	2000
1000300365	10.4	2000
1000300372	.47	2000
1000300374	.56	2000
1000300377	.24	2000
1000300379	.29	2000
1000300380	.3	2000
1000300387	.28	2000
1000300390	.48	2000
1000300392	.82	2000
1000300396	1	2000
1000300398	.76	2000
1000300401	.8	2000
1000300402	17.89	2000
1000300406	.42	2000
1000300409	.1	2000
1000300425	1.2	2000
1000300434	1.38	2000
1000300436	1.95	2000
1000300442	.66	2000
1000300445	.55	2000
1000300446	1.1	2000
1000300459	.78	2000
1000300470	.2	2000
1000300472	.23	2000
1000300486	.63	2000
1000300493	.66	2000
1000300508	.12	2000
1000300510	19.8	2000
1000300519	.88	2000
1000300524	.26	2000
1000300531	.31	2000
1000300532	.38	2000
1000300533	.33	2000
1000300540	.86	2000
1000400028	1.9	2000
1000400035	.59	2000
1000400037	7.65	2000
1000400038	.95	2000
1000400039	.12	2000
1000400047	3.56	2000
1000400051	7.36	2000
1000400053	2.32	2000
1000400054	4.61	2000
1000400064	.35	2000
1000400068	1.06	2000
1000400078	1.7	2000
1000400079	1.45	2000
1000400081	1.64	2000
1000400106	.89	2000
1000400108	.51	2000
1000400112	.13	2000
1000400115	25.45	2000
1000400116	26.38	2000
1000400120	9.91	2000
1000400121	.33	2000
1000400123	9.96	2000
1000400131	.74	2000
1000400139	2.26	2000
1000400142	1.84	2000
1000400145	.62	2000
