uniqid	distwork	wcouncil	dyear
1000100001	4.04034565353015	260	2000
1000100002	61.4783469605356	230	2000
1000100003	0	260	2000
1000100004	0	260	2000
1000100006	19.4068225632121	400	2000
1000100009	4.76179902977856	250	2000
1000100010	7.31977082974597	0	2000
1000100015	6.79282709922754	110	2000
1000100020	3.17901069516917	110	2000
1000100022	2.94922159221717	110	2000
1000100023	42.6998433369491	100	2000
1000100026	.668430998682736	100	2000
1000100027	6.74128007132177	100	2000
1000100030	.924104972392206	100	2000
1000100032	4.16297645921761	100	2000
1000100036	3.76690854680599	260	2000
1000100038	.466472935978069	320	2000
1000100039	.794957231554	320	2000
1000100040	15.5782914660113	320	2000
1000100045	13.1794605352419	230	2000
1000100047	24.7185226904846	230	2000
1000100049	22.3469550498496	230	2000
1000100051	1.75892381870279	240	2000
1000100052	19.3285132899559	240	2000
1000100061	0	130	2000
1000100062	0	130	2000
1000100064	.442	130	2000
1000100066	.760497863244862	130	2000
1000100067	.914055249971248	130	2000
1000100068	.898643422053486	130	2000
1000100069	1.03871892251947	130	2000
1000100070	4.9489418060834	130	2000
1000100071	4.62161357103772	230	2000
1000100072	4.28106493760606	230	2000
1000100075	20.4036780997937	110	2000
1000100078	43.483678639232	100	2000
1000100079	0	170	2000
1000100081	.750603090854281	170	2000
1000100083	0	360	2000
1000100084	5.03983977919933	360	2000
1000100085	0	360	2000
1000100087	5.4454315715102	360	2000
1000100088	3.44784178871363	360	2000
1000100089	4.37767027081757	360	2000
1000100090	6.93440732867633	360	2000
1000100097	5.24045427420181	260	2000
1000100098	0	260	2000
1000100099	2.59195216005234	260	2000
1000100100	6.78	0	2000
1000100101	5.64924251559446	360	2000
1000100102	4.87235979788028	360	2000
1000100103	12.79	0	2000
1000100105	10.0296618587069	260	2000
1000100108	13.436684858997	220	2000
1000100114	4.91290972846031	100	2000
1000100115	2.02607995893548	100	2000
1000100118	2.89103943245332	100	2000
1000100119	4.51526300452144	100	2000
1000100120	3.85892847821776	100	2000
1000100124	4.61575920082493	100	2000
1000100125	1.26439265695191	0	2000
1000100126	.559875879101788	100	2000
1000100129	1.46740621506112	100	2000
1000100138	8.24646936573465	390	2000
1000100139	.0579827560572969	390	2000
1000100141	2.25304882326149	260	2000
1000100142	1.37566747435563	260	2000
1000100149	.789840490225716	110	2000
1000100150	2.03905321166467	110	2000
1000100152	14.0425315381522	110	2000
1000100153	.817890579478698	110	2000
1000100155	7.37471335036149	290	2000
1000100156	1.92775128063762	230	2000
1000100157	13.3268430245126	240	2000
1000100158	14.0150370673787	0	2000
1000100161	4.06046918471253	100	2000
1000100163	4.01154583670684	100	2000
1000100167	40.41	0	2000
1000100171	11.717888034966	190	2000
1000100172	7.37873295356323	190	2000
1000100174	0	370	2000
1000100175	9.74702518720456	370	2000
1000100176	.515748969945651	110	2000
1000100178	22.36	170	2000
1000100183	6.08616537731271	230	2000
1000100184	1.75328263551545	200	2000
1000100189	10.0831790621807	400	2000
1000100192	7.64074767283935	250	2000
1000100194	2.84979385219352	250	2000
1000100198	6.13261877178094	180	2000
1000100199	14.3343119820939	180	2000
1000100206	2.90710250937252	380	2000
1000100207	3.02762365560847	380	2000
1000100209	1.49195341750338	380	2000
1000100210	12.8697641392529	260	2000
1000100211	18.3661344871478	380	2000
1000100212	4.38707658925622	380	2000
1000100213	17.404082854319	320	2000
1000100214	52.2721021195819	310	2000
1000100216	0	380	2000
1000100217	1.5486410171502	380	2000
1000100218	1.44695853430567	380	2000
1000100219	1.53488273167692	380	2000
1000100220	0	380	2000
1000100222	0	380	2000
1000100223	.355815963666612	380	2000
1000100226	2.65749976481655	380	2000
1000100231	0	320	2000
1000100232	.847680364288333	110	2000
1000100233	13.9436906520476	110	2000
1000100235	.515748969945651	110	2000
1000100239	28.7426164431842	230	2000
1000100241	.259624729176556	210	2000
1000100244	6.7942954012907	230	2000
1000100245	.749262303869613	230	2000
1000100247	.328024389337135	230	2000
1000100252	1.07866259784976	150	2000
1000100253	19.6823719353131	260	2000
1000100255	.253179778023443	350	2000
1000100256	8.36670891091593	350	2000
1000100257	6.81473323028862	390	2000
1000100260	1.52052622469986	260	2000
1000100263	2.14541953939084	200	2000
1000100265	51.6627186663652	230	2000
1000100271	35.1251932379026	260	2000
1000100272	22.772883216668	370	2000
1000100273	10.9320080497592	370	2000
1000100276	5.53483513756282	170	2000
1000100280	.329848450049413	300	2000
1000100281	8.79523166266813	300	2000
1000100283	0	300	2000
1000100285	83.353184780187	110	2000
1000100287	14.3767607617293	300	2000
1000100288	15.111880524938	300	2000
1000100289	0	300	2000
1000100290	18.4286760240664	300	2000
1000100291	6.06707326476284	300	2000
1000100292	.171172427686237	180	2000
1000100293	.722185571719624	180	2000
1000100299	6.06493536651464	360	2000
1000100300	27.4188961484594	360	2000
1000100304	3.55995786491919	320	2000
1000100305	2.04455105096449	320	2000
1000100306	9.54842919018621	380	2000
1000100309	1.38979315007666	260	2000
1000100310	4.54739485859761	260	2000
1000100311	31.3734073539996	395	2000
1000100312	2.69871098860178	260	2000
1000100315	17.9259352336217	190	2000
1000100320	18.9537908873133	190	2000
1000100323	4.05854271876002	230	2000
1000100324	6.20175886341931	280	2000
1000100327	1.75914752081797	0	2000
1000100328	4.19268410448486	170	2000
1000100329	4.99799959983992	170	2000
1000100333	77.7039059507307	170	2000
1000100336	26.1270261989381	240	2000
1000100337	4.52109466832978	250	2000
1000100339	0	250	2000
1000100342	11.8061513627431	250	2000
1000100343	4.21313719216453	0	2000
1000100349	11.06860501599	310	2000
1000100351	33.2141792010581	260	2000
1000100355	1.70497653942804	350	2000
1000100358	3.43739727119226	350	2000
1000100359	2.4300534973535	350	2000
1000100360	25.2477719016946	230	2000
1000100362	4.79820799882623	230	2000
1000100367	0	170	2000
1000100368	0	170	2000
1000100370	3.17643888655205	320	2000
1000100371	5.98198336674384	320	2000
1000100373	11.898771869399	320	2000
1000100375	9.95059817297433	370	2000
1000100376	.828733974204027	260	2000
1000100377	7.53087810285096	320	2000
1000100378	13.2718681804786	380	2000
1000100379	45.6396492975132	230	2000
1000100380	25.8905821680394	400	2000
1000100381	14.9681795820334	260	2000
1000100382	23.092245733146	220	2000
1000100384	.402766681839499	310	2000
1000100385	5.8212250428926	310	2000
1000100387	9.01255846028196	310	2000
1000100388	16.9161804494986	190	2000
1000100389	54.269775197618	260	2000
1000100391	1.56710178354822	395	2000
1000100392	2.05358661857736	395	2000
1000100396	.442326802262761	395	2000
1000100397	22.043187156126	260	2000
1000100399	0	395	2000
1000100400	.51247243828327	395	2000
1000100401	16.0171938865708	230	2000
1000100402	13.6020061020424	290	2000
1000100403	13.2920596221955	230	2000
1000100404	21.8052860563672	230	2000
1000100408	2.52176545301105	230	2000
1000100409	3.71725126941938	110	2000
1000100410	4.63941246280173	0	2000
1000100411	1.58841210018056	110	2000
1000100412	4.69856595143667	240	2000
1000100420	4.16460142150482	250	2000
1000100421	2.53574012864095	250	2000
1000100426	15.47	0	2000
1000100427	33.399908398078	230	2000
1000100429	0	320	2000
1000100431	15.375877210748	250	2000
1000100432	11.0116349830532	250	2000
1000100434	9.21564864781639	320	2000
1000100435	1.50046659409665	350	2000
1000100439	3.00187308192735	240	2000
1000100441	2.0255024068117	240	2000
1000100446	4.29737710702703	280	2000
1000100447	7.28685535742271	230	2000
1000100452	4.55505707977408	170	2000
1000100453	1.55803786860269	270	2000
1000100454	0	270	2000
1000100460	7.52974182824352	180	2000
1000100461	1.01227762990199	110	2000
1000100463	18.97	230	2000
1000100464	2.72951460886364	400	2000
1000100465	26.91	170	2000
1000100466	11.2625618755237	260	2000
1000100470	.414849370253831	180	2000
1000100472	2.6273431446996	270	2000
1000100473	.641038220389393	270	2000
1000100475	1.9788110066401	270	2000
1000100476	135.63897679502	100	2000
1000100477	17.4178090757707	350	2000
1000100478	1.81515839529227	310	2000
1000100484	2.04616739295689	320	2000
1000100487	2.20087187269046	320	2000
1000100488	17.44	170	2000
1000100489	21.6143663797947	260	2000
1000100490	1.4461673485458	320	2000
