UNIQIDNEW	KID_WT	kid_ok	kidecon	kidage	laschool	centre_t	type1	type2	type3	distschl
7922664	2.61	1	7	4	 	Local Authority	0	Secondary	0	4.54354013958279
12267573	.94	1	7	2	 	Local Authority	Primary	0	0	.592027026410113
14122004	.7	1	7	3	 	Local Authority	Primary	0	0	.27965872058636
15466093	2.06	1	7	3	 	Local Authority	0	Secondary	0	2.66070761264743
16622968	1.8	1	7	3	 	Local Authority	Primary	0	0	.502347489294015
18510284	1.32	1	7	1	 	Local Authority	0	0	Special	8.7773440174121
31870255	1.89	1	7	2	 	Local Authority	Primary	0	0	.299883310639322
34995485	.55	1	7	3	 	Local Authority	0	Secondary	0	1.80876311329041
48188852	.66	1	7	1	 	Local Authority	Primary	0	0	1.08767872094659
48717839	1.68	1	7	4	 	Local Authority	0	Secondary	0	.582897932746377
50580437	1.25	1	7	4	 	Local Authority	0	Secondary	0	9.08853260983312
58144597	.52	1	7	1	 	Local Authority	Primary	0	0	.539557225880629
59025284	1	1	7	4	 	Local Authority	0	Secondary	0	2.20766958578497
79850271	.62	1	7	3	 	Local Authority	Primary	0	0	.442417223896177
83028750	.8	1	7	2	 	Independent	Primary	0	0	7.40986612564627
91172551	.18	1	7	2	 	Local Authority	Primary	0	0	.662731468997814
95225257	.7	1	7	1	 	Local Authority	Primary	0	0	.419909514062256
103013046	.75	1	7	4	 	Local Authority	0	Secondary	0	.328298644529642
112297941	.84	1	7	2	 	Local Authority	Primary	0	0	.424348913042086
122211018	.72	1	7	1	 	Local Authority	Primary	0	0	.465868007057793
123876497	.58	1	7	3	 	Local Authority	Primary	0	0	1.039433018525
125618140	.83	1	7	4	 	Local Authority	0	Secondary	0	4.81547007051233
127932351	1.89	1	7	2	 	Local Authority	Primary	0	0	.332415402771893
134756971	1.94	1	7	2	 	 	 	 	 	 
137130898	.59	1	7	2	 	Local Authority	Primary	0	0	.540026851184272
141735851	.84	1	7	2	 	Local Authority	Primary	0	0	.20353869410999
145578851	1.56	1	7	2	 	Local Authority	Primary	0	0	8.85328696021991
145731299	.23	1	7	1	 	Local Authority	Primary	0	0	.379527337618781
146234805	.82	1	7	4	 	Local Authority	0	Secondary	0	.591899484710031
150392522	.83	1	7	2	 	Local Authority	Primary	0	0	.287088836425243
152387098	.54	1	7	4	 	 	 	 	 	 
163648730	.52	1	7	1	 	 	 	 	 	 
170772570	1.21	1	7	3	 	Local Authority	Primary	Secondary	0	3.0637821397743
172048915	.34	1	7	2	 	Local Authority	Primary	0	0	1.10070204869438
178689986	.47	1	7	2	 	Local Authority	Primary	0	0	.201853907566834
188365761	.44	1	7	1	 	 	 	 	 	 
192106586	.52	1	7	2	 	Local Authority	Primary	0	0	1.6933871382528
199237225	.82	1	7	3	 	Local Authority	Primary	0	0	.628564236971847
199605605	1.95	1	7	3	 	 	 	 	 	 
214346322	.44	1	7	1	 	Local Authority	Primary	0	0	1.50608432698837
217040871	1.59	1	7	4	 	Local Authority	0	Secondary	0	2.89173321729374
232306170	.65	1	7	3	 	Local Authority	0	Secondary	0	16.5918379030173
235173927	1.8	1	7	3	 	Local Authority	Primary	0	0	.994983919468049
237368789	.69	1	7	3	 	Local Authority	0	Secondary	0	1.69239150316941
241119951	1.8	1	7	3	 	Local Authority	Primary	0	0	5.13571280349671
242582495	.81	1	7	2	 	Local Authority	Primary	0	0	1.2409726024373
246961076	.41	1	7	3	 	Local Authority	Primary	0	0	.232406970635564
248050728	.72	1	7	1	 	Local Authority	Primary	0	0	8.93446383394102
254598298	.75	1	7	4	 	Local Authority	0	Secondary	0	.945025925570299
262692632	1.89	1	7	4	 	Local Authority	0	Secondary	0	7.20470124293853
267715213	.82	1	7	4	 	Local Authority	0	Secondary	0	.396890413086535
270542149	1.51	1	7	4	 	Local Authority	0	Secondary	0	1.35569207418204
282828217	.76	1	7	4	 	Local Authority	0	Secondary	0	1.82660614254962
