UNIQIDNEW	IND_WT	wcode	hcouncil_code	wcouncil_code	distwork
324106	1.06	9	100	100	6.22251822014207
6198675	.61	-1	380	 	 
8350854	.61	-1	220	 	 
10209182	.62	-1	110	 	 
11467134	.81	9	300	270	35.9787055075638
13839729	.65	-1	100	 	 
14122004	1.65	9	320	400	18.7908832416148
15466093	1.27	9	350	350	5.48087894411106
16350696	.38	9	235	235	.282490707811779
16622968	1.88	9	260	260	2.36535663273004
18510284	.74	-1	380	 	 
23641140	.6	9	230	230	3.0497581871355
25144281	1.36	-2	110	 	 
29443326	1.2	9	290	230	4.35230375778162
30710461	.34	9	280	280	1.10640544105676
31870255	.74	9	380	260	9.6786821933567
34284118	.94	0	190	190	.167839208768392
34628307	1.25	-1	110	 	 
34995485	1.78	9	230	250	16.3232944285153
36301623	1.47	9	170	170	25.8535453854979
38222360	1.42	-1	270	 	 
40279530	.6	0	300	300	.0621288982680363
40693666	.53	9	380	380	3.00480215654875
41743713	.62	-1	395	 	 
45733867	.36	-1	200	 	 
47153855	.32	-1	390	 	 
47976147	.62	9	390	390	3.25905507777945
48188852	1.37	9	390	390	4.78238110150164
48355182	.55	-1	240	 	 
48717839	1.47	9	380	320	11.2405004336996
50580437	1.33	9	300	300	28.4561307454123
55394975	1.13	9	210	210	2.76140055044537
58144597	.49	-1	210	 	 
59025284	2.57	9	180	340	27.4289887710065
59825397	.41	-1	355	 	 
60024416	.66	9	300	300	5.64853149057346
60825526	1.25	9	110	110	.369270903267506
62100078	.07	-1	330	 	 
69106972	1.01	-1	130	 	 
69160425	.86	9	200	260	9.37462281907917
69947993	.07	-1	330	 	 
71203034	.84	9	270	270	8.05013248338187
71432871	.17	9	360	360	.414638396678359
71995222	1.23	-1	380	 	 
76155715	.57	-1	220	 	 
78438605	.4	-1	150	 	 
79850271	.67	9	210	210	6.76201892928436
83028750	.63	9	210	210	7.07144115438996
84159617	.93	-1	310	 	 
84593232	1.11	9	290	290	.981185507434756
85785409	.94	9	350	260	4.31346357351027
86996282	.81	-1	350	 	 
87072827	.08	9	330	330	.379947364775702
88718679	1.32	9	355	355	3.77522052336019
89108279	.37	9	290	230	12.4170049931535
91172551	.3	0	330	330	.0389486841883009
92289034	.35	9	130	260	33.3220489165957
94217403	.2	-1	150	 	 
95225257	.82	-1	120	 	 
95543033	1.82	-1	320	 	 
98633022	1.31	9	340	340	2.94285439667001
99389871	1.47	0	170	170	.201645728940635
103013046	.98	0	210	210	.0451774279923061
106450553	.89	9	230	230	2.15765544051871
108150561	1.06	9	270	270	20.028715435594
108224853	1.21	9	230	230	2.16280604770747
109336787	1.07	-1	100	 	 
111144279	.33	9	370	370	7.39970175074644
112297941	1.55	0	260	260	.01
113089076	.35	-1	280	 	 
117764884	1.08	9	250	250	.037
118995845	.62	-1	110	 	 
119713844	.09	9	360	360	.49538368967902
122211018	1.89	9	250	250	2.8162020524103
122371797	.99	9	240	260	32.4579804978683
122570834	1.51	9	260	260	5.87434123966254
123855603	.33	0	220	220	.0745251635355468
123876497	1.76	9	395	260	21.8783144917519
124210465	.42	9	180	180	.932131428501368
124411109	1.88	9	260	260	3.8975321679237
125497976	.71	-1	260	 	 
125618140	1.24	-1	300	 	 
127932351	1.74	9	380	260	11.9855553062843
130488399	3.13	9	110	100	13.1028841481561
132938783	.36	9	150	230	42.5752528236768
133286455	1.09	9	250	250	1.80586267473471
133357226	1.78	9	230	230	3.30900241764795
134148040	.35	-1	280	 	 
137130898	1.19	-1	120	 	 
140150963	2.13	9	230	230	.689826789853801
141735851	1.88	9	260	260	4.81665745097158
143709170	.25	9	360	360	.690050722773334
143927858	.55	-1	240	 	 
145217749	.27	-1	290	 	 
145578851	1.33	9	300	300	8.90263135258335
145731299	.23	-2	330	 	 
146030584	.11	9	330	330	3.73129468147451
146852789	1.53	9	340	340	.355360380459049
150392522	1.31	9	340	340	.448232082742858
155919493	.65	-1	180	 	 
156896050	.54	9	210	230	22.6646259179365
158391736	.89	9	230	230	9.50183166552639
159182638	1.5	9	240	230	28.2634497717458
165019297	.95	-1	190	 	 
167855663	.45	-1	300	 	 
170772570	1.19	-1	310	 	 
173138074	.18	9	235	235	13.6276696834052
175770531	.65	-1	260	 	 
178191341	1.46	9	380	380	.134301898720755
178689986	.71	9	355	355	9.86357186824327
179221389	1.26	9	355	355	6.87221398095257
180589455	1.06	9	380	320	26.5586846059815
182373082	.34	-1	280	 	 
185199446	1.42	-1	260	 	 
185477111	3.04	-1	180	 	 
190240830	.21	9	235	235	24.5804399065599
190741807	.38	-1	355	 	 
192106586	.74	9	290	150	54.0403527190562
192542166	.1	-1	235	 	 
196577465	1.33	9	340	340	2.28767239787519
196996695	2.26	9	400	400	.733741098753504
197360079	1.36	9	190	380	19.0085962132926
197916609	.65	9	370	370	.813009840038852
198720117	.21	9	235	235	27.6814543331813
199237225	.56	0	200	200	.01552417469626
199605605	.76	0	180	180	.0260768096208106
199632650	.87	-1	380	 	 
201239587	2.15	9	320	230	40.3335423686043
203175145	.61	-1	230	 	 
203755732	.58	-1	230	 	 
204602034	1.42	-1	270	 	 
207131064	.09	9	360	360	.762813869826709
207251065	1.13	9	400	400	.887992117082128
208090745	1.06	9	380	380	1.11333058881897
208457085	.61	0	290	290	.0921954445729289
209582943	.71	-1	280	 	 
209889366	2.53	9	270	270	.423812458523815
213492607	1.49	-1	340	 	 
217040871	1.89	9	110	110	2.89173321729374
217377842	1.02	-1	320	 	 
217473517	1.06	0	380	380	.428364330914702
218870725	.17	9	360	360	12.9636393809763
220941199	1.28	0	180	180	.0283019433961698
221314841	.35	9	290	230	12.371452016639
221585241	1.58	9	250	250	1.8962494561634
222486482	.72	-1	200	 	 
224324410	.11	9	360	360	5.75978827735881
227288083	.76	-1	355	 	 
230371585	.23	0	330	330	.616846820531645
231204094	.94	-1	250	 	 
232306170	.73	9	130	395	4.70949785008975
234449362	.08	-1	235	 	 
235173927	1.8	9	260	260	5.10684814734098
235878747	.53	-1	230	 	 
237368789	3.14	9	350	350	6.89873270970836
238496294	.58	-1	230	 	 
238934374	.75	9	380	380	.413280776228462
240778421	1.05	-1	230	 	 
241376740	.07	-1	330	 	 
242582495	.52	-1	230	 	 
243486288	1.96	9	210	210	5.437486367799
244851272	1.35	9	270	270	3.86252197404753
246142937	.62	-1	110	 	 
247537937	.43	9	120	120	2.49805404265
248050728	.87	-1	260	 	 
248266273	.34	0	395	395	.0228254244210267
249819677	1.3	-1	100	 	 
250124890	.73	-1	200	 	 
250309972	.27	9	150	150	1.98321380592209
251987773	.36	-1	355	 	 
254598298	1	0	210	210	.097718984849414
256587789	.48	-1	120	 	 
256797360	.15	9	360	360	2.34543514086406
258151275	3.24	0	200	200	.124402572320672
262692632	3.93	-1	240	 	 
263357848	.15	-1	360	 	 
264588237	3.98	9	340	340	3.03990345241424
265492192	2.43	9	310	310	1.38204775604897
265927618	1.1	-1	340	 	 
266646748	1.07	-1	240	 	 
270542149	2.83	-1	250	 	 
273703817	.57	-1	220	 	 
274710936	.2	-1	150	 	 
275141323	.47	-1	370	 	 
277288008	.89	9	380	380	5.02362777283509
277461075	.73	9	250	230	20.1791062487911
277633742	1.89	9	250	250	13.2694329193074
277926164	.92	9	100	100	3.42441016818955
279017110	1.16	-1	230	 	 
282828217	2.6	9	260	260	7.72984618216947
283008195	3.01	-1	260	 	 
285999124	.98	-1	170	 	 
287393402	.27	-1	280	 	 
288304306	1.22	-1	180	 	 
289507435	1.19	9	120	120	7.85967079463256
291072634	1.57	9	350	350	3.52021192543858
302773231	.19	9	235	235	9.22487181482756
304741413	.11	9	235	235	.748150385951915
306937896	1.25	-1	110	 	 
307364274	.61	9	230	230	6.21845808862615
307506533	1.47	-1	250	 	 
308863093	2.65	9	340	340	.751750623544803
313519981	.49	-1	210	 	 
314929845	1.46	-1	380	 	 
315272152	.39	-1	310	 	 
321403007	.18	9	235	235	20.2598959770281
322287694	.07	-1	330	 	 
322527928	.9	9	250	250	3.53402391050202
323652444	1.44	0	350	350	.0014142135623731
323854527	.92	-1	100	 	 
325829509	1.33	9	400	400	8.11182944840435
330252918	.18	-1	150	 	 
332872314	.32	-1	190	 	 
334265405	2.13	9	230	230	5.23348239702781
335752895	1.8	9	260	320	21.3751396018833
337333969	.18	9	235	235	10.4484031794337
337562837	1	9	260	260	.195058965443786
339254542	1.31	9	355	355	4.85469690094037
339577264	1.49	-1	340	 	 
339635872	.82	-1	320	 	 
341289175	2.34	9	310	260	36.6832805648568
341628605	.33	9	210	210	1.85276792934247
342424373	.66	9	300	300	18.6263394686127
343934280	1.65	9	355	355	21.8642075090775
343990713	.27	9	360	360	10.0155548024061
344475299	.73	-1	250	 	 
345183430	.45	9	330	330	5.30598049374477
345263650	.28	9	280	350	11.0334006543767
347871744	1.25	-2	110	 	 
348872334	.83	9	310	190	12.3984232061984
352804359	.41	-1	190	 	 
353233461	.09	9	235	235	.357404532707687
353833321	.45	9	300	300	.364878061823399
354378397	.64	9	210	210	.766891126562304
357159140	1.28	-1	170	 	 
357646021	1.53	-1	110	 	 
360673471	.67	9	400	400	.539749015747134
360965343	.34	-1	395	 	 
361098043	.26	0	330	330	.237065391822594
362064858	1.55	9	260	350	9.4095026436045
362728076	.78	9	100	100	1.47547721093889
362962001	.07	-1	330	 	 
364038782	.65	-1	190	 	 
364200641	.58	-1	230	 	 
364970691	.59	9	310	370	13.0505626698622
365015870	1.22	9	230	230	2.47461613184752
365613332	1.16	0	230	230	.019
365759401	1.28	9	120	180	18.2297420716806
366712805	.59	9	395	240	40.7025560499583
369687873	3.56	9	230	230	1.42392872012612
373599353	2.33	9	400	400	4.30873032342476
373784086	1.29	9	180	180	.0500899191454728
374310763	.64	9	110	100	38.0340396618608
375012253	2.47	9	380	260	16.9610057779602
375304558	.44	-1	150	 	 
375372238	.08	-1	360	 	 
377151706	.53	-1	270	 	 
377259656	1.3	-1	260	 	 
378356609	.48	-1	240	 	 
386034749	1.74	0	400	400	.019313207915828
389070060	1.11	-1	310	 	 
389643587	.22	-1	150	 	 
389852455	2.74	9	320	260	14.5303504775349
390873990	.28	-1	130	 	 
391395889	.67	-1	395	 	 
392511060	2.11	-1	100	 	 
392926238	.55	-1	340	 	 
393425264	.53	-1	380	 	 
394958538	.3	9	360	360	7.74303357864345
395422495	.52	-1	170	 	 
397370175	1.49	9	100	100	2.8934728268985
398041230	1.36	-2	110	 	 
398131861	1.66	9	240	240	4.73066432966872
399449767	.61	9	230	250	17.5019887441399
399698104	1.11	0	320	320	0
400164654	1.8	9	260	260	1.28128060939046
400667913	1.21	9	270	270	55.0865768495375
401261501	.71	9	355	355	8.49297886492131
401330810	1.58	-1	280	 	 
407842594	1.49	-1	340	 	 
408090475	1.55	9	110	100	11.4185372092926
408100850	.79	9	120	180	13.07911346384
