UNIQIDNEW	Journey	dyear	IND_WT	trav_wt	randgender	randage	randecon	mainmode	purpose_newv2	purpose_old	journeystart_lacode	journeyend_lacode	journeystart_rururb	journeyend_rururb	journeystart_time	journeystart_hh	journeystart_mm	journeyend_time	journeyend_hh	journeyend_mm	journey_duration	journey_distance	journeystart_sum	journeyend_sum	keepjourney	imp_dist	roadnet_time	roadnet_timeinhms	roadnet_kms
324106	1	21	1.06	.93	2	47	2	2	24	6	100	100	1	1	9:40:00	9	40	9:50:00	9	50	10	2.89565881968163	1	4	1	1	4.37	0:04:22	3.503541888
324106	2	21	1.06	.93	2	47	2	2	124	6	100	100	1	1	16:10:00	16	10	16:20:00	16	20	10	2.89565881968163	4	1	1	1	4.37	0:04:22	3.513197952
6198675	1	21	.61	.47	1	83	5	1	12	29	380	380	1	1	12:00:00	12	0	12:20:00	12	20	20	1.02619540049642	1	4	1	1	3.14	0:03:08	1.749356928
6198675	2	21	.61	.47	1	83	5	1	112	29	380	380	1	1	12:20:00	12	20	12:40:00	12	40	20	1.02619540049642	4	1	1	1	3.14	0:03:08	1.749356928
8350854	1	21	.61	.47	2	70	5	2	1	28	130	220	2	1	14:15:00	14	15	17:15:00	17	15	180	98.7442194763825	3	1	1	1	109.37	1:49:22	157.718930688
10209182	1	21	.62	.51	2	72	5	2	5	7	110	110	2	1	11:15:00	11	15	11:30:00	11	30	15	10.8819002936068	1	4	1	1	16.66	0:16:39	17.258605056
10209182	2	21	.62	.51	2	72	5	2	6	7	110	110	1	2	13:30:00	13	30	13:55:00	13	55	25	17.7427776855824	4	4	1	1	20.59	0:20:35	21.809829888
10209182	3	21	.62	.51	2	72	5	2	1	28	110	110	2	2	15:30:00	15	30	15:45:00	15	45	15	8.88649233387392	4	1	1	1	10.34	0:10:20	11.435998464
10209182	4	21	.62	.51	2	72	5	1	12	29	110	110	2	2	16:00:00	16	0	16:30:00	16	30	30	3.05585749013268	1	4	1	1	3.35	0:03:21	3.228344064
10209182	5	21	.62	.51	2	72	5	1	112	29	110	110	2	2	16:30:00	16	30	17:00:00	17	0	30	3.05585749013268	4	1	1	1	3.35	0:03:21	3.228344064
11467134	1	21	.81	.69	2	58	3	1	12	29	300	300	2	2	10:00:00	10	0	10:45:00	10	45	45	2.707807415604	1	4	1	1	7.44	0:07:26	7.774740864
11467134	2	21	.81	.69	2	58	3	1	112	29	300	300	2	2	10:45:00	10	45	11:30:00	11	30	45	2.707807415604	4	1	1	1	7.44	0:07:26	7.774740864
13839729	1	21	.65	.63	2	70	5	2	6	7	100	100	1	1	12:00:00	12	0	12:10:00	12	10	10	4.44517108782103	1	4	1	1	6.37	0:06:22	5.52809664
13839729	2	21	.65	.63	2	70	5	2	106	7	100	100	1	1	13:00:00	13	0	13:10:00	13	10	10	4.44517108782103	4	1	1	1	6.43	0:06:25	5.483035008
14122004	1	21	1.65	1.59	1	43	2	2	4	4	320	320	2	1	12:00:00	12	0	12:15:00	12	15	15	5.93582243669738	1	3	1	1	8.49	0:08:29	7.238829312
14122004	2	21	1.65	1.59	1	43	2	2	104	4	320	320	1	2	15:00:00	15	0	15:15:00	15	15	15	5.93582243669738	3	1	1	1	8.61	0:08:36	7.34665536
15466093	1	21	1.27	1.23	1	46	2	2	22	5	350	350	1	1	9:30:00	9	30	9:40:00	9	40	10	1.61564383451304	1	3	1	1	2.96	0:02:57	1.908681984
15466093	2	21	1.27	1.23	1	46	2	2	122	5	350	350	1	1	10:20:00	10	20	10:30:00	10	30	10	1.61564383451304	3	1	1	1	2.95	0:02:57	1.903853952
16350696	1	21	.38	.34	1	54	1	1	3	1	235	235	2	2	8:50:00	8	50	8:52:00	8	52	2	.112399283993553	1	2	1	9	0	0:00:00	0
16350696	2	21	.38	.34	1	54	1	1	103	1	235	235	2	2	13:00:00	13	0	13:02:00	13	2	2	.1192469293075	2	1	1	9	0	0:00:00	0
16350696	3	21	.38	.34	1	54	1	1	3	1	235	235	2	2	13:40:00	13	40	13:42:00	13	42	2	.184403601777082	1	2	1	9	0	0:00:00	0
16350696	4	21	.38	.34	1	54	1	1	103	28	235	235	2	2	18:15:00	18	15	18:17:00	18	17	2	.130328744200109	2	1	1	9	0	0:00:00	0
16622968	1	21	1.88	1.82	2	32	2	5	3	1	260	260	1	1	6:50:00	6	50	6:55:00	6	55	5	2.34613085739052	1	2	1	1	5.48	0:05:28	3.79000512
16622968	2	21	1.88	1.82	2	32	2	1	103	1	260	260	1	1	14:00:00	14	0	14:10:00	14	10	10	2.34613085739052	2	1	1	1	5.48	0:05:28	3.793223808
18510284	1	21	.74	.93	2	43	4	1	4	4	380	380	1	1	9:10:00	9	10	9:25:00	9	25	15	.615864433134436	1	3	1	1	.88	0:00:52	.666268416
18510284	2	21	.74	.93	2	43	4	8	104	4	380	380	1	1	10:00:00	10	0	10:05:00	10	5	5	.615864433134436	3	1	1	1	.87	0:00:52	.661440384
